Id,LotArea,HouseStyle,OverallCond,YearBuilt,BedroomAbvGr,SalePrice
98,10921,1Story,5,1965,3,94750
99,10625,1Story,5,1920,2,83000
100,9320,1Story,5,1959,3,128950
101,10603,1Story,7,1977,3,205000
102,9206,2Story,5,1985,3,178000
103,7018,1Story,5,1979,4,118964
104,10402,1Story,5,2009,3,198900
105,7758,1.5Fin,4,1931,4,169500
106,9375,2Story,5,2003,3,250000
107,10800,1Story,7,1885,2,100000
108,6000,1Story,5,1948,2,115000
109,8500,1.5Fin,7,1919,3,115000
110,11751,1Story,6,1977,3,190000
111,9525,1.5Fin,4,1954,4,136900
112,7750,SLvl,5,2000,3,180000
113,9965,2Story,5,2007,4,383970
114,21000,1Story,5,1953,3,217000
115,7259,2Story,8,1945,3,259500
116,3230,2Story,5,1999,2,176000
117,11616,1Story,5,1962,3,139000
118,8536,1Story,5,2006,2,155000
119,12376,2Story,5,1990,5,320000
120,8461,2Story,5,2005,3,163990
121,21453,SLvl,5,1969,1,180000
122,6060,1.5Fin,5,1939,3,100000
123,9464,1Story,7,1958,3,136000
124,7892,1Story,5,1993,2,153900
125,17043,1Story,5,1979,3,181000
126,6780,1.5Fin,8,1935,2,84500
127,4928,1Story,5,1976,2,128000
128,4388,1.5Unf,7,1930,3,87000
129,7590,2Story,5,1966,3,155000
130,8973,1Story,7,1958,3,150000
131,14200,2Story,6,1966,4,226000
132,12224,2Story,5,2000,3,244000
133,7388,1Story,6,1959,3,150750
134,6853,1Story,5,2001,2,220000
135,10335,1Story,6,1968,3,180000
136,10400,1Story,6,1970,3,174000
137,10355,1Story,5,1967,3,143000
138,11070,1Story,5,1988,5,171000
139,9066,2Story,5,1999,3,230000
140,15426,2Story,5,1997,3,231500
141,10500,1Story,5,1971,3,115000
142,11645,1Story,5,2005,3,260000
143,8520,1.5Fin,4,1952,4,166000
144,10335,1Story,5,1999,3,204000
145,9100,1Story,5,1963,6,125000
146,2522,2Story,5,2004,3,130000
147,6120,1Story,7,1931,2,105000
148,9505,2Story,5,2001,3,222500
149,7500,1Story,5,2004,3,141000
150,6240,1.5Fin,4,1936,3,115000
151,10356,1Story,6,1975,3,122000
152,13891,1Story,5,2007,2,372402
153,14803,2Story,5,1971,4,190000
154,13500,1Story,7,1960,1,235000
155,11340,1Story,5,1923,4,125000
156,9600,1.5Fin,5,1924,2,79000
157,7200,1Story,7,1950,2,109500
158,12003,2Story,5,2009,4,269500
159,12552,2Story,5,2004,3,254900
160,19378,2Story,5,2005,4,320000
161,11120,1Story,6,1984,3,162500
162,13688,2Story,5,2003,3,412500
163,12182,1Story,5,2005,3,220000
164,5500,1.5Unf,6,1956,1,103200
165,5400,1Story,7,1926,3,152000
166,10106,1.5Fin,7,1940,4,127500
167,10708,1Story,5,1955,2,190000
168,10562,2Story,5,2007,3,325624
169,8244,2Story,5,2004,3,183500
170,16669,1Story,6,1981,2,228000
171,12358,1.5Fin,6,1941,2,128500
172,31770,1Story,5,1960,3,215000
173,5306,2Story,7,1987,2,239000
174,10197,1Story,5,1961,3,163000
175,12416,1Story,5,1986,3,184000
176,12615,1Story,7,1950,4,243000
177,10029,2Story,5,1988,4,211000
178,13650,1.5Fin,5,1958,4,172500
179,17423,1Story,5,2008,1,501837
180,8520,1Story,6,1923,2,100000
181,2117,2Story,5,2000,3,177000
182,7588,2Story,6,1920,4,200100
183,9060,1Story,6,1957,3,120000
184,11426,1.5Fin,5,2003,3,200000
185,7438,1.5Fin,8,1908,3,127000
186,22950,2.5Fin,9,1892,4,475000
187,9947,SLvl,5,1990,3,173000
188,10410,1.5Fin,7,1916,3,135000
189,7018,SFoyer,5,1979,2,153337
190,4923,1Story,5,2001,0,286000
191,10570,2Story,8,1932,3,315000
192,7472,2Story,9,1972,4,184000
193,9017,1Story,5,1999,3,192000
194,2522,2Story,5,2004,3,130000
195,7180,1Story,7,1972,3,127000
196,2280,2Story,6,1976,3,148500
197,9416,1Story,5,2007,3,311872
198,25419,2Story,4,1918,4,235000
199,5520,2.5Fin,6,1912,5,104000
200,9591,1Story,5,2004,3,274900
201,8546,1Story,5,2003,2,140000
202,10125,1Story,6,1977,3,171500
203,7000,1.5Fin,6,1924,2,112000
204,4438,1Story,5,2004,1,149000
205,3500,1.5Fin,7,1947,2,110000
206,11851,1Story,5,1990,3,180500
207,13673,1Story,5,1962,3,143900
208,12493,1Story,5,1960,3,141000
209,14364,2Story,5,1988,3,277000
210,8250,1Story,7,1964,3,145000
211,5604,1Story,6,1925,2,98000
212,10420,1Story,5,2009,3,186000
213,8640,2Story,5,2009,3,252678
214,13568,1Story,5,1995,3,156000
215,10900,2Story,7,1977,3,161750
216,10011,1Story,6,1957,2,134450
217,8450,1Story,5,2004,3,210000
218,9906,2Story,4,1925,3,107000
219,15660,1.5Fin,9,1939,3,311500
220,3010,1Story,5,2005,2,167240
221,8990,1Story,5,2006,2,204900
222,8068,2Story,5,2002,4,200000
223,11475,2Story,6,1975,3,179900
224,10500,1Story,6,1971,2,97000
225,13472,1Story,5,2003,3,386250
226,1680,2Story,5,1971,3,112000
227,9950,2Story,5,1995,4,290000
228,1869,2Story,6,1970,2,106000
229,8521,1Story,5,1967,3,125000
230,3182,1Story,5,2005,2,192500
231,8760,1Story,6,1959,3,148000
232,15138,2Story,5,1995,4,403000
233,1680,2Story,5,1972,2,94500
234,10650,1Story,6,1976,3,128200
235,7851,2Story,5,2002,4,216500
236,1680,2Story,3,1971,2,89500
237,8773,1Story,5,2004,3,185500
238,9453,2Story,7,1993,3,194500
239,12030,1Story,5,2007,3,318000
240,8741,1.5Fin,4,1945,3,113000
241,9000,1Story,5,2008,3,262500
242,3880,1Story,9,1945,2,110500
243,5000,1.5Fin,4,1900,3,79000
244,10762,2Story,6,1980,3,120000
245,8880,2Story,5,1994,3,205000
246,10400,1Story,5,1988,3,241500
247,9142,2Story,8,1910,4,137000
248,11310,1Story,5,1954,2,140000
249,11317,2Story,5,2003,3,180000
250,159000,1.5Fin,7,1958,4,277000
251,5350,1Story,2,1940,3,76500
252,4750,1Story,5,2006,2,235000
253,8366,2Story,5,2004,3,173000
254,9350,SLvl,7,1964,3,158000
255,8400,1Story,6,1957,3,145000
256,8738,2Story,5,1999,4,230000
257,8791,2Story,5,2003,3,207500
258,8814,1Story,5,2006,3,220000
259,12435,2Story,5,2001,3,231500
260,12702,1Story,5,1956,2,97000
261,19296,SLvl,5,1962,3,176000
262,9588,2Story,5,2007,3,276000
263,8471,SLvl,7,1977,3,151000
264,5500,1.5Fin,7,1929,3,130000
265,5232,1Story,5,1925,2,73000
266,12090,1Story,6,1981,3,175500
267,11207,2Story,5,1997,3,185000
268,8400,2.5Fin,8,1939,4,179500
269,6900,1Story,6,1940,2,120500
270,7917,1Story,7,1976,3,148000
271,10728,2Story,5,2006,3,266000
272,39104,1Story,7,1954,2,241500
273,11764,2Story,7,1999,4,290000
274,9600,1Story,6,1958,3,139000
275,8314,1Story,7,1982,2,124500
276,7264,1.5Fin,7,1925,3,205000
277,9196,1Story,5,2003,3,201000
278,19138,1Story,5,1951,2,141000
279,14450,1Story,5,2006,3,415298
280,10005,2Story,5,1977,4,192000
281,11287,2Story,6,1989,3,228500
282,7200,1Story,5,2006,2,185000
283,5063,1Story,5,2007,2,207500
284,9612,1Story,5,2008,3,244600
285,8012,1Story,5,1992,2,179200
286,4251,2Story,5,2006,2,164700
287,9786,1.5Fin,7,1962,3,159000
288,8125,1Story,4,1971,3,88000
289,9819,1Story,5,1967,3,122000
290,8730,2Story,7,1915,3,153575
291,15611,2Story,5,2006,3,233230
292,5687,2Story,6,1912,6,135900
293,11409,1.5Fin,4,1949,3,131000
294,16659,2Story,7,1977,3,235000
295,9600,1Story,5,1953,3,167000
296,7937,SLvl,6,1984,3,142500
297,13710,1.5Fin,5,1950,4,152000
298,7399,2Story,5,1997,3,239000
299,11700,2Story,6,1968,3,175000
300,14000,1Story,8,1950,3,158500
301,15750,1Story,5,1953,2,157000
302,16226,2Story,5,1998,4,267000
303,13704,1Story,5,2001,3,205000
304,9800,1Story,7,1972,3,149900
305,18386,2.5Fin,9,1880,3,295000
306,10386,1Story,5,2004,3,305900
307,13474,2Story,5,1990,4,225000
308,7920,1.5Fin,7,1920,3,89500
309,12342,1Story,5,1940,1,82500
310,12378,1Story,5,2003,3,360000
311,7685,2Story,5,1993,3,165600
312,8000,1Story,6,1948,2,132000
313,7800,1.5Fin,7,1939,3,119900
314,215245,1Story,5,1965,3,375000
315,9600,2Story,7,1925,3,178000
316,7795,2Story,5,2004,3,188500
317,13005,2Story,7,1980,4,260000
318,9000,2Story,5,2006,3,270000
319,9900,2Story,5,1993,4,260000
320,14115,SLvl,5,1980,3,187500
321,16259,2Story,5,2006,4,342643
322,12099,2Story,5,2004,4,354000
323,10380,2Story,5,1986,4,301000
324,5820,1Story,8,1955,3,126175
325,11275,SLvl,7,1967,5,242000
326,5000,1.5Unf,6,1941,2,87000
327,10846,1Story,5,1993,1,324000
328,11600,1Story,5,1960,3,145250
329,11888,2.5Unf,6,1916,5,214500
330,6402,2Story,5,1920,3,78000
331,10624,1Story,4,1964,6,119000
332,8176,1Story,6,1958,3,139000
333,10655,1Story,5,2003,3,284000
334,8198,1Story,5,2004,2,207000
335,9042,2Story,5,1998,3,192000
336,164660,1.5Fin,6,1965,3,228950
337,14157,1Story,5,2005,3,377426
338,9135,1Story,5,2002,3,214000
339,14145,1Story,7,1984,3,202500
340,12400,1Story,7,1958,3,155000
341,14191,2Story,5,2002,4,202900
342,8400,1Story,4,1950,2,82000
343,8544,1Story,4,1949,2,87500
344,8849,1Story,5,2005,2,266000
345,2592,2Story,3,1976,3,85000
346,6435,1.5Fin,5,1939,3,140200
347,12772,1Story,8,1960,2,151500
348,17600,1Story,5,1960,3,157500
349,2448,2Story,5,2003,2,154000
350,20431,2Story,5,2005,4,437154
351,7820,1Story,5,2007,2,318061
352,5271,1Story,5,1986,2,190000
353,9084,1.5Fin,6,1941,3,95000
354,8520,1Story,8,1928,2,105900
355,8400,1.5Fin,5,1940,2,140000
356,11249,1Story,5,1995,3,177500
357,9248,1Story,6,1992,3,173000
358,4224,1Story,5,1976,3,134000
359,6930,SLvl,4,1958,3,130000
360,12011,2Story,5,1998,3,280000
361,7540,SFoyer,6,1978,2,156000
362,9144,1.5Fin,5,1940,3,145000
363,7301,SFoyer,5,2003,4,198500
364,1680,2Story,8,1972,2,118000
365,18800,2Story,5,1976,3,190000
366,10690,2Story,7,1920,3,147000
367,9500,1Story,5,1963,3,159000
368,9150,SLvl,5,1962,3,165000
369,7800,1Story,6,1954,2,132000
370,9830,1Story,7,1959,3,162000
371,8121,2Story,5,2000,3,172400
372,17120,1.5Fin,4,1959,4,134432
373,7175,1Story,5,1984,2,125000
374,10634,1Story,6,1953,3,123000
375,8200,2Story,5,2003,4,219500
376,10020,1Story,1,1922,1,61000
377,8846,SFoyer,5,1996,2,148000
378,11143,2Story,5,2004,4,340000
379,11394,1Story,2,2010,1,394432
380,8123,2Story,5,2000,3,179000
381,5000,1.5Fin,6,1924,3,127000
382,7200,1Story,5,2006,2,187750
383,9245,2Story,5,2006,3,213500
384,9000,1.5Unf,3,1928,2,76000
385,53107,2Story,5,1992,3,240000
386,3182,1Story,5,2004,2,192000
387,8410,1.5Fin,3,1910,5,81000
388,7200,SLvl,6,1976,3,125000
389,9382,1Story,5,1999,3,191000
390,12474,2Story,5,2007,3,426000
391,8405,1.5Fin,8,1900,4,119000
392,12209,2Story,5,2001,3,215000
393,8339,1Story,7,1959,3,106500
394,7446,1Story,5,1941,2,100000
395,10134,1.5Fin,6,1940,2,109000
396,9571,1Story,6,1956,3,129000
397,7200,1Story,5,1972,2,123000
398,7590,2Story,5,1962,4,169500
399,8967,1Story,2,1920,2,67000
400,8125,2Story,5,2006,2,241000
401,14963,1Story,5,1996,1,245500
402,8767,1Story,5,2005,3,164990
403,10200,1Story,8,1940,2,108000
404,12090,2Story,5,1998,4,258000
405,10364,2Story,5,1995,3,168000
406,9991,1Story,4,1976,3,150000
407,10480,1.5Fin,5,1936,3,115000
408,15576,2Story,7,1915,4,177000
409,14154,2Story,5,2006,3,280000
410,10800,2Story,5,2007,3,339750
411,9571,1Story,3,1958,3,60000
412,34650,1Story,5,1955,3,145000
413,4403,1Story,5,2009,2,222000
414,8960,1Story,6,1927,2,115000
415,11228,2Story,5,1993,3,228000
416,8899,1Story,5,2007,3,181134
417,7844,2Story,7,1978,3,149500
418,22420,2Story,6,1918,4,239000
419,8160,1.5Fin,6,1940,3,126000
420,8450,1Story,6,1968,3,142000
421,7060,SFoyer,5,1997,2,206300
422,16635,1Story,7,1977,3,215000
423,21750,1Story,5,1954,2,113000
424,9200,2Story,5,1998,4,315000
425,9000,1Story,5,1956,2,139000
426,3378,2Story,8,1946,3,135000
427,12800,SLvl,5,1989,2,275000
428,8593,1Story,6,1957,3,109008
429,6762,1Story,5,2007,2,195400
430,11457,1Story,5,1988,3,175000
431,1680,2Story,5,1971,2,85400
432,5586,1.5Fin,7,1920,4,79900
433,1920,2Story,5,1971,2,122500
434,10839,2Story,5,1997,3,181000
435,1890,SFoyer,7,1972,1,81000
436,10667,2Story,6,1996,3,212000
437,4400,1.5Fin,8,1920,2,116000
438,6000,1.5Unf,7,1926,2,119000
439,4280,1Story,6,1913,2,90350
440,12354,1.5Fin,8,1920,3,110000
441,15431,1Story,5,2008,2,555000
442,12108,1Story,4,1955,4,118000
443,6240,1.5Fin,7,1930,3,162900
444,3922,1Story,5,2006,2,172500
445,8750,2Story,5,1994,4,210000
446,9855,1Story,5,1956,3,127500
447,16492,1Story,6,1966,2,190000
448,11214,2Story,5,1998,4,199900
449,8600,1.5Fin,6,1937,3,119500
450,6000,1.5Fin,7,1948,2,120000
451,5684,1Story,8,1930,2,110000
452,70761,1Story,5,1975,2,280000
453,9303,2Story,5,1996,3,204000
454,9000,2Story,5,2008,3,210000
455,9297,1Story,5,1976,4,188000
456,9600,1Story,6,1973,3,175500
457,4571,2Story,5,1916,4,98000
458,53227,1Story,6,1954,2,256000
459,5100,2Story,7,1925,3,161000
460,7015,1.5Fin,4,1950,3,110000
461,8004,2Story,5,2009,3,263435
462,7200,2Story,9,1936,3,155000
463,8281,1Story,5,1965,3,62383
464,11988,2Story,7,1934,3,188700
465,8430,1Story,5,1978,3,124000
466,3072,1Story,5,2004,2,178740
467,10628,1Story,5,1970,2,167000
468,9480,2Story,7,1942,3,146500
469,11428,1Story,5,2006,3,250000
470,9291,2Story,5,1993,3,187000
471,6820,1Story,5,1985,1,212000
472,11952,2Story,6,1977,3,190000
473,3675,SLvl,5,2005,2,148000
474,14977,1Story,5,2006,2,440000
475,5330,1Story,5,2000,2,251000
476,8480,1Story,6,1963,2,132500
477,13125,1Story,5,1997,3,208900
478,13693,2Story,5,2006,3,380000
479,10637,1Story,5,2007,3,297000
480,5925,1Story,7,1937,2,89471
481,16033,1Story,5,2004,3,326000
482,11846,1Story,5,2003,2,374000
483,2500,2Story,8,1915,4,155000
484,4500,1Story,5,1998,2,164000
485,7758,1Story,7,1962,3,132500
486,9600,1Story,7,1950,3,147000
487,10289,1Story,7,1965,3,156000
488,12243,1Story,6,1971,3,175000
489,10800,1.5Fin,4,1900,3,160000
490,1526,SFoyer,8,1970,1,86000
491,2665,2Story,6,1976,3,115000
492,9490,1.5Fin,7,1941,3,133000
493,15578,2Story,5,2006,3,172785
494,7931,1Story,6,1960,3,155000
495,5784,1Story,8,1938,2,91300
496,7879,1Story,5,1920,2,34900
497,12692,1Story,5,1992,4,430000
498,9120,1.5Fin,6,1925,4,184000
499,7800,1Story,7,1967,3,130000
500,7535,1Story,7,1958,2,120000
501,1890,2Story,5,1973,3,113000
502,9803,2Story,5,2005,3,226700
503,9170,1Story,7,1965,2,140000
504,15602,1Story,8,1959,1,289000
505,2308,2Story,5,1974,3,147000
506,7596,2Story,5,1952,4,124500
507,9554,2Story,5,1993,3,215000
508,7862,1Story,5,2009,2,208300
509,9600,2Story,9,1928,3,161000
510,9600,1Story,6,1959,3,124500
511,14559,1Story,7,1951,2,164900
512,6792,1Story,5,2005,2,202665
513,9100,1Story,5,1958,3,129900
514,9187,1Story,5,1983,3,134000
515,10594,1.5Unf,5,1926,2,96500
516,12220,1Story,5,2009,3,402861
517,10448,SLvl,6,1972,3,158000
518,10208,2Story,5,1996,3,265000
519,9531,2Story,5,1998,3,211000
520,10918,2Story,9,1926,3,234000
521,10800,2Story,7,1900,3,106250
522,11988,1Story,6,1957,3,150000
523,5000,1.5Fin,7,1947,3,159000
524,40094,2Story,5,2007,3,184750
525,11787,2Story,5,1996,3,315750
526,7500,1Story,5,2005,3,176000
527,13300,1Story,7,1956,2,132000
528,14948,2Story,5,2008,3,446261
529,9098,1Story,7,1920,2,86000
530,32668,1Story,3,1957,4,200624
531,10200,SLvl,5,1988,3,175000
532,6155,2Story,8,1920,3,128000
533,7200,1Story,7,1955,2,107500
534,5000,1Story,3,1946,1,39300
535,9056,2Story,5,2004,3,178000
536,7000,2Story,7,1910,3,107500
537,8924,2Story,5,1998,3,188000
538,12735,1Story,5,1972,3,111250
539,11553,1Story,5,1968,3,158000
540,11423,1Story,5,2001,3,272000
541,14601,1Story,5,2006,2,315000
542,11000,2Story,5,2000,4,248000
543,10140,1Story,5,1998,3,213250
544,4058,SFoyer,5,1998,1,133000
545,17104,2Story,5,2006,3,179665
546,13837,1.5Fin,5,1988,4,229000
547,8737,1.5Fin,7,1923,3,210000
548,7244,SFoyer,7,1970,2,129500
549,8235,1Story,7,1955,2,125000
550,9375,2Story,5,2003,4,263000
551,4043,1Story,6,1977,2,140000
552,6000,1Story,6,1957,3,112500
553,11146,1Story,5,2006,3,255500
554,8777,1Story,5,1949,2,108000
555,10625,2Story,5,2003,3,284000
556,6380,1.5Unf,6,1922,2,113000
557,14850,1Story,5,1957,2,141000
558,11040,1.5Fin,6,1920,3,108000
559,21872,2Story,5,1996,3,175000
560,3196,1Story,5,2003,2,234000
561,11341,1Story,6,1957,3,121500
562,10010,1Story,5,1974,2,170000
563,13907,1Story,6,1940,3,108000
564,21780,1.5Fin,7,1918,4,185000
565,13346,2Story,5,1992,4,268000
566,6858,2Story,4,1915,4,128000
567,11198,2Story,5,2005,4,325000
568,10171,1Story,5,2004,3,214000
569,12327,1.5Fin,8,1983,1,316600
570,7032,SFoyer,5,1979,2,135960
571,13101,1Story,5,1965,6,142600
572,7332,1Story,6,1959,2,120000
573,13159,2Story,5,2009,3,224500
574,9967,SLvl,5,2000,3,170000
575,10500,SLvl,7,1971,3,139000
576,8480,1.5Fin,5,1947,2,118500
577,6292,1.5Fin,7,1928,3,145000
578,11777,SLvl,6,1966,3,164500
579,3604,2Story,5,2007,2,146000
580,12150,1.5Fin,5,1954,4,131500
581,14585,1Story,6,1960,3,181900
582,12704,1Story,5,2008,3,253293
583,11841,SFoyer,5,1990,3,118500
584,13500,2.5Unf,9,1893,3,325000
585,6120,1.5Fin,7,1935,3,133000
586,11443,1Story,5,2005,2,369900
587,10267,1Story,7,1918,2,130000
588,8740,SFoyer,6,1982,2,137000
589,25095,1Story,8,1968,1,143000
590,9100,1Story,6,1930,2,79500
591,8320,2Story,5,2004,3,185900
592,13478,2Story,5,2008,3,451950
593,6600,1Story,8,1982,2,138000
594,4435,1Story,5,2003,1,140000
595,7990,1Story,6,1975,3,110000
596,11302,1Story,5,2005,3,319000
597,3600,2Story,7,1910,3,114504
598,3922,1Story,5,2006,2,194201
599,12984,1Story,6,1977,3,217500
600,1950,2Story,6,1980,3,151000
601,10927,2Story,5,2005,3,275000
602,9000,1.5Fin,6,1937,3,141000
603,10041,2Story,5,1992,3,220000
604,3182,2Story,5,2004,2,151000
605,12803,1Story,5,2002,3,221000
606,13600,2Story,6,1965,3,205000
607,12464,1Story,5,1996,3,152000
608,7800,2Story,8,1948,3,225000
609,12168,2Story,6,1934,4,359100
610,7943,1Story,5,1961,3,118500
611,11050,2Story,5,2000,3,313000
612,10395,SLvl,6,1978,3,148000
613,11885,2Story,5,2001,3,261500
614,8402,1Story,5,2007,3,147000
615,1491,SFoyer,6,1972,1,75500
616,8800,SFoyer,7,1963,3,137500
617,7861,2Story,5,2002,3,183200
618,7227,1.5Unf,6,1954,2,105500
619,11694,1Story,5,2007,3,314813
620,12244,2Story,5,2003,4,305000
621,8248,1Story,3,1914,2,67000
622,10800,2Story,7,1974,4,240000
623,7064,1Story,6,1977,3,135000
624,2117,2Story,5,2000,2,168500
625,10400,2Story,5,1972,4,165150
626,10000,1Story,6,1962,3,160000
627,12342,1Story,5,1960,3,139900
628,9600,SLvl,6,1955,3,153000
629,11606,2Story,5,1969,5,135000
630,9020,SLvl,5,1964,3,168500
631,9000,2Story,6,1880,3,124000
632,4590,1Story,5,2006,2,209500
633,11900,1Story,5,1977,3,82500
634,9250,1Story,7,1954,3,139400
635,6979,SFoyer,5,1980,0,144000
636,10896,2.5Fin,7,1914,8,200000
637,6120,1Story,3,1936,1,60000
638,6000,1.5Fin,4,1954,3,93000
639,8777,1Story,7,1910,2,85000
640,3982,1Story,5,2006,1,264561
641,12677,1Story,5,2003,1,274000
642,7050,2Story,5,2001,3,226000
643,13860,SLvl,7,1972,4,345000
644,10793,2Story,5,1969,4,152000
645,9187,1Story,5,2009,2,370878
646,10530,1Story,5,1971,3,143250
647,7200,1Story,5,1950,3,98300
648,10452,1Story,5,1953,3,155000
649,7700,2Story,5,1966,4,155000
650,1936,SFoyer,6,1970,1,84500
651,8125,2Story,6,2007,3,205950
652,9084,2Story,5,1940,4,108000
653,8750,2Story,5,1996,2,191000
654,10320,1.5Fin,7,1906,3,135000
655,10437,1Story,6,1995,2,350000
656,1680,2Story,5,1971,3,88000
657,10007,1Story,7,1959,3,145500
658,7200,2Story,6,1931,3,149000
659,17503,1.5Fin,5,1948,3,97500
660,9937,1Story,7,1964,3,167000
661,12384,2Story,7,1976,3,197900
662,46589,2Story,7,1994,4,402000
663,13560,1Story,3,1968,2,110000
664,10012,SFoyer,5,1972,3,137500
665,20896,1Story,5,2005,1,423000
666,11194,2Story,5,2000,3,230500
667,18450,2Story,5,1965,3,129000
668,8125,1Story,5,1994,3,193500
669,14175,1Story,6,1956,3,168000
670,11600,1Story,5,1922,2,137500
671,8633,2Story,5,2005,3,173500
672,6629,2Story,6,1925,3,103600
673,11250,1Story,6,1977,3,165000
674,14442,1Story,7,1957,3,257500
675,9200,1Story,6,1965,3,140000
676,2289,2Story,6,1978,3,148500
677,9600,2Story,2,1900,4,87000
678,9022,1Story,8,1924,2,109500
679,11844,1Story,5,2008,3,372500
680,9945,1Story,5,1961,3,128500
681,8012,1Story,5,1980,2,143000
682,4500,1.5Fin,5,1932,3,159434
683,2887,1Story,5,1996,2,173000
684,11248,1Story,5,2002,3,285000
685,16770,2Story,5,1998,4,221000
686,5062,2Story,5,1984,3,207500
687,10207,2Story,6,2007,3,227875
688,5105,2Story,5,2004,2,148800
689,8089,1Story,6,2007,2,392000
690,7577,1Story,5,2005,2,194700
691,4426,1Story,5,2004,1,141000
692,21535,2Story,6,1994,4,755000
693,26178,2Story,5,1989,4,335000
694,5400,1Story,6,1921,2,108480
695,6120,1.5Fin,6,1936,3,141500
696,13811,1Story,6,1987,2,176000
697,6000,1Story,7,1921,2,89000
698,6420,1Story,7,1952,2,123500
699,8450,1Story,8,1965,3,138500
700,4282,1Story,5,2004,2,196000
701,14331,1Story,5,2002,3,312500
702,9600,1Story,5,1969,3,140000
703,12438,2Story,5,2006,4,361919
704,7630,2Story,9,1900,4,140000
705,8400,1Story,5,2004,3,213000
706,5600,2Story,5,1930,3,55000
707,115149,1Story,5,1971,2,302000
708,6240,1Story,5,2006,2,254000
709,9018,2Story,5,2007,3,179540
710,7162,1Story,7,1966,3,109900
711,4130,1Story,6,1935,2,52000
712,8712,1.5Fin,7,1900,2,102776
713,4671,1Story,5,1988,2,189000
714,9873,1Story,5,1970,3,129000
